Year, Article Count, Ref Count
1985,149867,114524
1986,154311,119028
1987,163353,126568
1988,167588,130535
1989,175521,135185
1990,182332,139288
1991,194640,146585
1992,197968,149322
1993,206570,156305
1994,213080,163599
1995,208613,164722
1996,221771,167057
1997,228836,170629
